Date,Predicted
2024-01-07,689.280768405017
2024-01-14,711.4946991635558
2024-01-21,775.3155149156769
2024-01-28,726.9273023362558
2024-02-04,700.0424459346722
2024-02-11,681.9732059601758
2024-02-18,789.9965255076281
2024-02-25,669.6656785819782
2024-03-03,724.1248975072394
2024-03-10,819.389794021034
2024-03-17,954.2356995045103
2024-03-24,841.9517816144314
2024-03-31,673.6722232895333
2024-04-07,891.3304282978354
2024-04-14,805.332211578824
2024-04-21,787.8775120448744
2024-04-28,885.6563703674138
2024-05-05,796.3078554017972
2024-05-12,776.9754898074892
2024-05-19,858.1528271273858
2024-05-26,873.5281517937266
2024-06-02,976.4031595717782
2024-06-09,1115.6780426939897
2024-06-16,958.1399329751417
2024-06-23,761.6151762608276
2024-06-30,955.6001825906592
2024-07-07,813.2827307395443
2024-07-14,839.8245853677569
2024-07-21,986.5098437715089
2024-07-28,961.2819673878112
2024-08-04,747.4558134911448
2024-08-11,1022.9092464612074
2024-08-18,955.8794827911823
2024-08-25,1110.0884681990146
2024-09-01,1240.9485215485208
2024-09-08,1063.573312327262
2024-09-15,846.4806536869505
2024-09-22,1035.882112164048
2024-09-29,913.3803415695376
2024-10-06,942.388899148684
2024-10-13,1087.5734479773714
2024-10-20,1062.4758589645005
2024-10-27,868.5667990099579
2024-11-03,1124.7363663933484
2024-11-10,1071.1835963187452
2024-11-17,1228.0649050873822
2024-11-24,1400.0924521551428
2024-12-01,1191.9845128463694
2024-12-08,950.2662333206555
2024-12-15,1162.6505729779801
2024-12-22,1034.6432196936387
2024-12-29,1073.5269207689335
2025-01-05,1226.0781200233382
